id,series,WorldClim: Temperature - warmest month max,Precipitation - annual (Bio12)
"1b602e3c-039c-4ae8-a6d1-9e7b26f2fdfc","Eucalyptus populnea",330.0,555.0
"9c654561-ccf6-4ae0-847c-56ee3ac01d8b","Eucalyptus populnea",340.0,563.0
"2aaab5ad-ce30-46ab-b61c-706935aea6f2","Eucalyptus populnea",329.0,469.0
"d4db1f7b-85d5-46b1-a18a-ba7169c2e533","Eucalyptus populnea",338.0,491.0
"f79863ed-5468-4ec7-aaa6-91214f58dfc2","Eucalyptus populnea",330.0,429.0
"a214f22d-617f-456f-9961-07578c1b9e59","Eucalyptus populnea",340.0,483.0
"0b01c830-8deb-4971-8c82-dff8b8e50029","Eucalyptus populnea",329.0,508.0
"05614d7a-0c57-4e12-bf84-823c9e90a204","Eucalyptus populnea",330.0,665.0
"a0495fb3-f598-469f-a677-f62047fcb064","Eucalyptus populnea",330.0,421.0
"6ef62c4b-bc7f-42a3-9592-afc8e649aeef","Eucalyptus populnea",327.0,433.0
"f2e68731-409d-4bfa-88c5-8dacef7f8b33","Eucalyptus populnea",337.0,585.0
"0d8e9068-5cbb-406e-9dc3-4b34f6b68dcb","Eucalyptus populnea",331.0,415.0
"04b14372-ca9f-4fa0-92e1-02d44e367d4a","Eucalyptus populnea",341.0,481.0
"f1a2269f-aeac-4a26-8845-4d3aa29ac0bd","Eucalyptus populnea",343.0,470.0
"35afb313-a027-4d0d-9548-696533276b6a","Eucalyptus populnea",342.0,459.0
"ea8e16fc-2e07-4394-847a-d85e39a71c95","Eucalyptus populnea",326.0,429.0
"58e2c2c1-e62e-44bc-a180-22b24fc26ce1","Eucalyptus populnea",326.0,431.0
"1585b27e-671f-4750-aa15-2fcf340886e3","Eucalyptus populnea",332.0,518.0
"04435bc9-125b-4c97-8af0-76e0cafb1a42","Eucalyptus populnea",336.0,499.0
"3dd5bcb6-67aa-4e10-b8be-21bb5474cf2f","Eucalyptus populnea",329.0,434.0
"6390b12a-71ef-413e-ba66-124ab0eeeec3","Eucalyptus populnea",334.0,633.0
"abad04ab-c957-4043-9664-db3711338257","Eucalyptus populnea",340.0,530.0
"04597452-ac0d-4d96-b373-d0a3334ba499","Eucalyptus populnea",338.0,575.0
"606d62d3-092f-4eab-a140-ca79f57594a8","Eucalyptus populnea",332.0,404.0
"2b0ffb6d-addc-4cfc-84e6-a644034d01ac","Eucalyptus populnea",338.0,494.0
"d4fe4c8e-5217-416b-9095-cc01aa40cc5d","Eucalyptus populnea",342.0,563.0
"ee44d123-5f21-46a0-8bad-b0b9bf544640","Eucalyptus populnea",335.0,474.0
"bee6c9d2-6b8b-4de5-90c2-a5b849ccd78f","Eucalyptus populnea",329.0,535.0
"1aa190f7-a93a-475e-bf5e-21090ee2843d","Eucalyptus populnea",333.0,551.0
"cb1d7f1f-d6ce-41bc-8a8c-e7dc84b6303d","Eucalyptus populnea",333.0,459.0
"9844775f-ace2-45a0-ac91-4e7300a264eb","Eucalyptus populnea",331.0,522.0
"b6b0a979-0a46-43d7-818e-7b6494b6b97b","Eucalyptus populnea",340.0,484.0
"adb4771e-aae0-4468-8d10-4224ec09797b","Eucalyptus populnea",326.0,388.0
"cb21c78e-ebbb-4f31-b18a-433b77961d06","Eucalyptus populnea",332.0,415.0
"917975e0-f1fb-412d-9352-2ec3b24e63ee","Eucalyptus populnea",349.0,420.0
"adb9f5e8-4d76-4b49-94bb-e3436953956f","Eucalyptus populnea",346.0,460.0
"4b25b8bb-427f-49cc-aeaa-66cd83b5b434","Eucalyptus populnea",334.0,489.0
"d3a2a377-93c4-47fd-81f9-8708a6f4181d","Eucalyptus populnea",335.0,503.0
"2772b5a9-bd85-4507-96e8-449cc2a10328","Eucalyptus populnea",325.0,451.0
"2ac1b0a1-41b3-4e20-8dcd-e64ef7a40c1c","Eucalyptus populnea",337.0,611.0
"f5f85d90-8357-43eb-b26e-f67d91dfc568","Eucalyptus populnea",346.0,455.0
"b9aba5c1-f814-4310-bc68-3ecfcec8d0fe","Eucalyptus populnea",346.0,457.0
"7004e6f8-a3be-4ca0-9c6d-ac93ce9572fa","Eucalyptus populnea",332.0,644.0
"85d02f59-08da-4bf3-b301-6afcf86d04bc","Eucalyptus populnea",326.0,434.0
"a657cbb4-158b-4ace-a375-1958b9eddd8e","Eucalyptus populnea",334.0,469.0
"48d5e992-ac79-4c2c-9c8d-59c9919a6ba3","Eucalyptus populnea",344.0,452.0
"351f11b2-09c5-487d-9ba2-ad38c6ce55bc","Eucalyptus populnea",349.0,420.0
"11c5007e-8e87-4fde-a38d-7ee10f1ccbd3","Eucalyptus populnea",336.0,434.0
"2582ae66-d1c8-44b9-b6ac-7d05dad5b1a1","Eucalyptus populnea",335.0,451.0
"3d331be4-8042-46f1-8c20-a9b6dbc54880","Eucalyptus populnea",326.0,386.0
"52d3f680-86b1-42d0-ad32-dd5166fc9077","Eucalyptus populnea",331.0,512.0
"ccd98b88-91bd-4da8-8586-4cbb580406f5","Eucalyptus populnea",344.0,533.0
"193de183-68c7-45ac-9d54-ee5042e2c82d","Eucalyptus populnea",333.0,496.0
"325cdcb5-ae13-41c7-8d60-468d4b66f144","Eucalyptus populnea",335.0,633.0
"4dc6cba0-572b-417f-886a-c93fec1ad800","Eucalyptus populnea",342.0,550.0
"adf9ef4d-297e-41d2-a31c-d7ea62e5f98e","Eucalyptus populnea",334.0,506.0
"d9927b5e-5f9a-4d9f-b618-1e82c7443ec9","Eucalyptus populnea",344.0,541.0
"f7195a61-ea1d-43bb-9f02-d492f2cdc831","Eucalyptus populnea",338.0,635.0
"80f844df-723c-4be4-98c0-44b04d711c0c","Eucalyptus populnea",331.0,433.0
"10a53ad7-bee4-4eba-a428-812dcd4469b4","Eucalyptus populnea",337.0,471.0
"55329433-6066-4cca-af56-e28678585061","Eucalyptus populnea",334.0,635.0
"280f9b20-adc5-436c-9ca0-503490845f95","Eucalyptus populnea",344.0,439.0
"298fad2c-7b65-45e6-b675-97b55a9e74b9","Eucalyptus populnea",332.0,504.0
"cc4331c0-47e9-493e-bde2-2537d076283b","Eucalyptus populnea",339.0,467.0
"c1c60fc2-bc61-4bde-8097-d12b49a398e5","Eucalyptus populnea",330.0,460.0
"42906336-0091-42ff-ba36-e1eaad7c8bd8","Eucalyptus populnea",338.0,645.0
"b17c8be5-c92e-4c2c-9ec8-38fc3cec843e","Eucalyptus populnea",335.0,609.0
"94489ec1-1edc-4e8b-b6f6-51aa8c511a62","Eucalyptus populnea",337.0,446.0
"8fdcaf8b-aa99-4e15-9997-bbc55da726a3","Eucalyptus populnea",332.0,650.0
"d7a60bdd-984e-41a9-8f54-2f0e4607694f","Eucalyptus populnea",334.0,643.0
"a4ca7138-845a-4c7a-bdc0-dc12728cded2","Eucalyptus populnea",325.0,444.0
"41fa3d3b-21b7-4964-afd0-e5b6e3c31fb6","Eucalyptus populnea",345.0,517.0
"ffca68c5-cb5f-40e4-8003-0d0cac9b7454","Eucalyptus populnea",333.0,465.0
"3d0d3f57-f84f-43c4-9a64-4c65bb5df652","Eucalyptus populnea",335.0,470.0
"7e50f497-6941-4cee-909b-8c89a640b9ed","Eucalyptus populnea",327.0,521.0
"5ef09623-d6b6-419d-8d39-334a5903e6e7","Eucalyptus populnea",332.0,481.0
"9fd43b08-21cc-4c72-a23d-fccd17c87f6a","Eucalyptus populnea",329.0,536.0
"4e574b6c-7d95-4ac1-bca1-0ba20e7a6b36","Eucalyptus populnea",334.0,451.0
"ce5da92e-7bbb-442e-9cf8-3b09aec96229","Eucalyptus populnea",349.0,422.0
"f19d66ca-892f-478f-a426-e1394d0449c0","Eucalyptus populnea",334.0,433.0
"de8c8c6c-4abd-42a5-8f8d-f93f4248b03c","Eucalyptus populnea",333.0,495.0
"745c773a-f0ef-4d5d-aa6a-64a6fe023fdd","Eucalyptus populnea",336.0,521.0
"2f13a89e-3bb9-4eac-8f03-4211fe6dbcab","Eucalyptus populnea",342.0,569.0
"a4c2b60c-2580-4f32-ae59-2638444a549c","Eucalyptus populnea",334.0,502.0
"b07658a9-3e16-40f4-bddc-4bbe205ed82e","Eucalyptus populnea",329.0,485.0
"073b09c9-afaa-458f-a640-e718bd328281","Eucalyptus populnea",324.0,448.0
"e8f4feff-d26f-4497-9c36-ef5d158cc9ce","Eucalyptus populnea",326.0,520.0
"7e9f396c-1ab5-42d2-9b5a-f51e790fdbb0","Eucalyptus populnea",338.0,466.0
"0d9a75db-3f8a-4086-a0e1-640edf58e369","Eucalyptus populnea",344.0,449.0
"8ec47ab8-180b-4983-ad2e-3005d1eec9c4","Eucalyptus populnea",336.0,477.0
"03b4c4c7-8b34-4231-93c7-bc4c2d11d7b2","Eucalyptus populnea",330.0,424.0
"1d266a95-942a-445a-9ba0-96b9d5fbb883","Eucalyptus populnea",336.0,637.0
"c5d658c5-5ea3-4f73-8308-1059b9d798b3","Eucalyptus populnea",348.0,425.0
"607282fb-26ab-4aba-a68c-026032c8d5f9","Eucalyptus populnea",336.0,507.0
"1ba87bfa-4031-43b7-9951-35cc48e2350b","Eucalyptus populnea",329.0,424.0
"00692060-46cb-43ec-be4f-9af58baa82b7","Eucalyptus populnea",331.0,646.0
"e3d0864b-b31f-441e-8097-0aca0279fdb3","Eucalyptus populnea",331.0,538.0
"07fdf7b3-ddbd-4bfa-a4d5-de434620d2e9","Eucalyptus populnea",338.0,582.0
"7a320d68-1c4e-4fe3-b4e1-9d4cd1ebe85c","Eucalyptus populnea",344.0,557.0
"749302be-8806-4d6e-90e7-c20d226da81a","Eucalyptus populnea",334.0,474.0
"49b70d80-3c30-4d9b-9360-444ab5e92f36","Eucalyptus populnea",341.0,532.0
"222cdb18-937b-4779-b477-65ae367bf73a","Eucalyptus populnea",344.0,559.0
"e39ddcbc-9811-4568-8524-8d049b7a1823","Eucalyptus populnea",334.0,637.0
"32e518cb-8c53-44f2-adde-f69b284acc53","Eucalyptus populnea",343.0,578.0
"807e917f-e3be-4eaa-8421-aeae558f21ee","Eucalyptus populnea",340.0,549.0
"47844da1-3f41-4938-841a-5419fc4cf0a0","Eucalyptus populnea",330.0,454.0
"a2396523-27d8-45b2-8f19-cc7f296a6de3","Eucalyptus populnea",329.0,466.0
"178ab34d-d728-46c6-be4a-36502821ffd4","Eucalyptus populnea",338.0,638.0
"392577a5-8a87-43b5-91cd-241c80d65056","Eucalyptus populnea",333.0,441.0
"cd129670-627a-48da-a470-10ac3366b89f","Eucalyptus populnea",335.0,476.0
"6a8067ee-8656-4206-aed0-19f1955dcb77","Eucalyptus populnea",331.0,415.0
"2c2c3f5b-4522-4be9-a581-366af1d72d06","Eucalyptus populnea",341.0,496.0
"a7c3da5a-ffb8-4f36-9433-7a4eb3bad79c","Eucalyptus populnea",329.0,436.0
"25806734-c705-46cc-9278-371361c9e5c7","Eucalyptus populnea",332.0,434.0
"354e2c67-0473-406d-8ffe-1aa9f991bfd2","Eucalyptus populnea",342.0,532.0
"6f0160b5-0d0c-45b7-bbec-d9aefb0127b8","Eucalyptus populnea",342.0,558.0
"51ef8bf3-ea43-4876-8251-2b7725fe7a24","Eucalyptus populnea",333.0,637.0
"a224a7ab-97ae-4d4e-8562-27385873c356","Eucalyptus populnea",332.0,424.0
"00a1e44c-d8d8-4e66-8780-c9082330c17e","Eucalyptus populnea",329.0,536.0
"53f587d6-c28c-4609-b430-10b18ebab69f","Eucalyptus populnea",333.0,468.0
"548ca8e8-b6ea-4819-9a0f-dfd08e459e19","Eucalyptus populnea",346.0,455.0
